"","NUMERO_PARTIDO","DESPESA_MAX_CAMPANHA","NOME_URNA_CANDIDATO","COD_SIT_TOT_TURNO"
"403",28,1000000,"PROFESSORA CREMILDA",4
"404",36,-1,"ALEXANDRE BUENO",-1
"405",50,100000,"JAMERSON SANTOS",4
"406",20,-1,"LULU",-1
"407",20,4000000,"ROSE KATIANI",5
"408",20,4000000,"SIMONE OLIVEIRA",5
"409",51,-1,"ANA RAIMUNDA",-1
"410",31,0,"GONÇALO BOA MORTE",4
"411",51,-1,"ANA CLAUDIA ALMEIDA",-1
"412",36,2000000,"ZÉ DO LÍCIO",5
"413",43,2000000,"RAMON DE SENA",5
"414",13,3000000,"ROBINSON ALMEIDA",5
"415",36,2000000,"IRACEMA PIRES",5
"416",43,2000000,"PRÓ MARA",5
"417",50,100000,"JOÃO DANTAS",4
"418",51,1000000,"DIVA MARIA",4
"419",51,1000000,"CLAUDIA PATROCINIO",4
"420",51,1000000,"NEL EMANOEL COSTA",4
"421",19,4000000,"PROFESSORA ANGELA",4
"422",40,5000000,"CREUZA",4
"423",15,-1,"AMANDA MEIRELES",-1
"424",65,5000000,"ALICE PORTUGAL",2
"425",43,2000000,"IRENE ROSA",5
"426",25,4000000,"MARCELO MELO",5
"427",13,3000000,"EMILIANO JOSÉ",5
"428",51,-1,"MARIA JOSE",-1
"429",50,100000,"PROFESSOR JOILSON",4
"430",50,100000,"PROFº UILSON",4
"431",50,100000,"EDVANIA",4
"432",50,100000,"VAL BARBOSA",4
"433",50,100000,"PROFESSOR CHRISTIANO",4
"434",40,5000000,"BEBETO",2
"435",40,5000000,"LANDISVALTH",5
"436",25,4000000,"RUI DANTAS",5
"437",17,5000000,"CLEBER ROBERTO",5
"438",23,2000000,"RICARDO ROCHA",5
"439",36,2000000,"RIVAILTON",5
"440",13,3000000,"MOEMA GRAMACHO",2
"441",13,3000000,"LUIZ ALBERTO",5
"442",55,3000000,"PAULO MAGALHÃES",2
"443",51,-1,"VALDEMIR",-1
"444",36,2000000,"TUCA MAFREM, O JEFFSON",5
"445",25,4000000,"ZÉ CHICO",5
"446",25,4000000,"PROFESSORA MAURINA",5
"447",45,4000000,"PROF. MOISÉS, O HOMEM-ARANHA",5
"448",28,1000000,"JACINTO DA BAHIA RADIALISTA",4
"449",51,1000000,"SARGENTO JOEL",4
"450",20,4000000,"EDILSON CARNEIRO",5
"451",10,2000000,"EDILEUZA DE MILTÃO",5
"452",77,4000000,"LUIZ ARGOLO",5
"453",54,5000000,"MARCELO BARRETO",5
"454",20,4000000,"CLAUDIO NASCIMENTO",5
"455",20,4000000,"ERIVELTON SANTANA",3
"456",20,4000000,"NALDO MAGALHÃES",5
"457",20,4000000,"SARA 2014",5
"458",13,3000000,"AFONSO FLORENCE",2
"459",40,5000000,"DOMINGOS LEONELLI",5
"460",70,2000000,"KELTON WALLY",4
"461",51,1000000,"ERIKA TELES",4
"462",10,2000000,"MÁRCIO MARINHO",2
"463",31,0,"DILZA DALTRO",4
"464",23,2000000,"LUIZA GLAUCIA",5
"465",51,1000000,"CHARLES BAIANO",4
"466",13,3000000,"KIKO BARREIROS",5
"467",28,-1,"PRETTO",-1
"468",11,3000000,"CACÁ LEÃO",2
"469",50,100000,"DRª PAULA",4
"470",50,100000,"ZÉ CARLOS VETERINÁRIO",4
"471",40,5000000,"ROBERTA DEYJA",5
"472",17,5000000,"ANDRÉ FEITOSA",5
"473",17,5000000,"FLORIS ALUP",5
"474",44,2000000,"SORAIA TAVARES",5
"475",44,2000000,"SALVE JORGE",5
"476",23,2000000,"MARLENE SILVEIRA",5
"477",23,2000000,"NEIDE",4
"478",27,2000000,"DR. ESTRELLA",5
"479",43,2000000,"EDIGAR MÃO BRANCA",5
"480",25,4000000,"THAIZE DE HELIO",5
"481",55,3000000,"MAURICIO LABORDA",5
"482",70,2000000,"ANTONIO JORGE",5
"483",13,3000000,"PROFESSOR ZÉ LUIZ",4
"484",44,2000000,"NETO POBRE",5
"485",12,3000000,"FLAVIA GHISSONI",5
"486",12,3000000,"ODIOSVALDO VIGAS",5
"487",50,100000,"DRº JOSÉ RUDIVAL",4
"488",13,3000000,"VALMIR ASSUNÇÃO",2
"489",13,3000000,"YULO",5
"490",44,2000000,"PASTOR SANTANA",5
"491",28,1000000,"ILTON SANTOS",4
"492",27,2000000,"ALVARO RIOS",5
"493",36,2000000,"DAVID SALOMÃO",5
"494",36,2000000,"IRMÃ JACIARA",5
"495",45,-1,"MARIO CLEBER",-1
"496",45,-1,"RENATO BOTELHO",-1
"497",70,2000000,"VERINE",5
"498",19,4000000,"NEREU DO GAS",5
"499",12,3000000,"FELIX JR",2
"500",28,1000000,"WILLIAN ACHAN",4
"501",31,0,"ADILSON NOGUEIRA",4
"502",50,-1,"EDISON WILLIAM",-1
"503",25,-1,"EDISON FERREIRA",-1
"504",28,1000000,"PASTOR ELIONAI MURALHA",4
"505",50,100000,"MARROM DE ILHÉUS",4
"506",15,4000000,"ROBERTO PINA",5
"507",25,-1,"BIRA DO JEGUE",-1
"508",55,3000000,"ANIZETE LABORDA",5
"509",77,4000000,"SELMA OLIVEIRA",5
"510",36,-1,"DILMA MARIA",-1
"511",10,2000000,"POPÓ",5
"512",25,4000000,"ALELUIA",2
"513",50,100000,"SELMA",4
"514",12,3000000,"SEVERIANO ALVES",5
"515",43,2000000,"ZE DO QUIM",5
"516",25,4000000,"RUTH RIBEIRO",5
"517",25,4000000,"LUIZA COSTA",5
"518",15,-1,"MIRIAM ROTONDANO",-1
"519",45,4000000,"IMBASSAHY",2
"520",28,-1,"CLEBER RAIMUNDO",-1
"521",11,3000000,"JOÃO HONORATO",5
"522",55,3000000,"TABATA",5
"523",51,-1,"TEO SOARES",-1
"524",50,-1,"CAPITÃO NONATO",-1
"525",50,100000,"GILDASIO CUNHA",4
"526",28,1000000,"FRANCINEIDE DE OLIVEIRA",4
"527",50,100000,"MAGNO ROCHA",4
"528",51,1000000,"RUDIVAL SANTOS",4
"529",17,5000000,"VADO DA BAHIA",5
"530",23,2000000,"FREDERICO FERRAZ",5
"531",19,-1,"PROFESSORA TEOFILA",-1
"532",13,3000000,"LEILA CARLA",5
"533",43,2000000,"WELITON SOARES",5
"534",25,4000000,"LEONEL CRISTO",5
"535",13,3000000,"LENICE FERREIRA",5
"536",28,1000000,"LOURIVAL GREGORIO",4
"537",36,-1,"ROBERTO LIMA",-1
"538",14,6000000,"BENITO GAMA",3
"539",40,5000000,"IVANILDES VAZ",5
"540",13,3000000,"AMAURI TEIXEIRA",5
"541",51,-1,"ERIKA CHUENEMANN",-1
"542",70,2000000,"NAYANA GUSMÃO",5
"543",27,2000000,"ALEX DE ARGENTINO",5
"544",36,2000000,"RAMON DIAS MIRANDA",5
"545",36,-1,"MESSIAS APARECIDO",-1
"546",25,4000000,"CLÁUDIO TABOADA",5
"547",25,4000000,"LILIANE ANDRADE",4
"548",90,1300000,"KÁTIA BACELAR",5
"549",15,4000000,"LUCIO VIEIRA LIMA",2
"550",19,4000000,"MALTA",5
"551",22,3000000,"CARLITO FERREIRA",5
"552",51,-1,"MARIANA NUNO",-1
"553",51,1000000,"EU TE AMO",4
"554",28,1000000,"HUMBERTO TEDAO",4
"555",51,1000000,"SOLDADO JOSAFÁ RAMOS",4
"556",51,1000000,"LUIZ MOTIVADOR",4
"557",36,2000000,"FRANCISCO DA HORA",5
"558",10,2000000,"TIA ERON",2
"559",20,4000000,"YNÁCIA SANTOS",5
"560",13,3000000,"JORGE SOLLA",2
"561",31,0,"MARIVALDO DO FLAMENGO",4
"562",51,1000000,"RAIMUNDO",4
"563",17,5000000,"NEGA BILOZA",5
"564",28,1000000,"CLEONILDO",4
"565",25,4000000,"CAPITÃO FÁBIO",5
"566",70,2000000,"RILDO",5
"567",28,1000000,"MAXIMO BISPO",4
"568",44,2000000,"ALEXANDRE MARQUES",5
"569",15,4000000,"LUCIANA FERREIRA",4
"570",22,3000000,"SUZETE SPINOLA",5
"571",40,5000000,"CAPITAO TADEU",5
"572",11,3000000,"RONALDO CARLETTO",2
"573",40,5000000,"LATINHA",5
"574",50,100000,"ELIEIDE BORGES",4
"575",55,3000000,"JOSÉ NUNES",2
"576",51,1000000,"PRISCILA WANDERLEY",4
"577",50,100000,"REINALDO MARTINS",4
"578",50,100000,"PROFº NEWTON JUNIOR",4
"579",40,5000000,"TADEU CORREIA",5
"580",17,-1,"VALDEMIRO LOPES",-1
"581",70,2000000,"DIOGO ALVES",5
"582",70,2000000,"SOLIMAR",5
"583",77,4000000,"MARCOS MEDRADO",5
"584",44,2000000,"JANDIRA RODRIGUES",5
"585",44,2000000,"GARÇON FLAVIO",5
"586",44,-1,"PASTOR NELSON",-1
"587",40,5000000,"NADJARA REGIS",5
