Ano;Sigla;Codigo;Estado;Domicilios com agua potavel;Domicilios com instalacao adequada de esgoto;PEA;Taxa de Desemprego;Coeficiente_de_Gini;# Domilicios com Extrema Pobreza;# Domilicios com Pobreza;Analfabetos mais de 25;Anos de estudo medio mais de 25
2008;RJ;33;Rio de Janeiro;0,98;0,88;7983347,00;9,7;0,54;169319,00;571349,00;0,98;8,2
2008;RN;24;Rio Grande do Norte;0,88;0,48;1441645,00;8,6;0,551;92237,00;246111,00;4,85;6
2008;RO;11;Rondônia;0,88;0,72;550504,00;8,1;0,501;32673,00;97782,00;0,99;6
2008;RR;14;Roraima;0,88;0,82;159434,00;7,4;0,542;8748,00;29649,00;1,51;7,3
2008;RS;43;Rio Grande do Sul;0,99;0,76;5679061,00;6,1;0,504;110423,00;384448,00;1,21;7,3
2008;SC;42;Santa Catarina;0,98;0,8;3390655,00;4,7;0,465;31271,00;115760,00;0,56;7,6
2008;SE;28;Sergipe;0,89;0,74;946024,00;8,4;0,539;59492,00;177806,00;2,3;6,4
2008;SP;35;São Paulo;0,99;0,93;22081043,00;8,2;0,498;333590,00;1082902,00;0,78;8,1
2008;TO;17;Tocantins;0,83;0,31;656236,00;6,5;0,544;28637,00;94083,00;2,19;6,4
2012;AC;12;Acre;0,72;0,43;271309,00;8;0,55;15479,00;45675,00;2,42;7
2012;AL;27;Alagoas;0,83;0,48;1274409,00;12,2;0,499;89195,00;265186,00;4,02;5,5
2012;AM;13;Amazonas;0,88;0,52;1380481,00;9;0,511;65394,00;205725,00;2,23;7,7
2012;AP;16;Amapá;0,89;0,45;277438,00;10,9;0,537;11777,00;39502,00;0,99;8,1
2012;BA;29;Bahia;0,89;0,6;6590086,00;10,2;0,548;457086,00;1140833,00;2,18;6,3
2012;CE;23;Ceará;0,84;0,51;3794972,00;6,6;0,527;243935,00;587449,00;2,14;6,1
2012;DF;53;Distrito Federal;0,99;0,96;1456571,00;8,4;0,587;22801,00;59635,00;0,62;9,9
2012;ES;32;Espírito Santo;1;0,84;1942057,00;5,8;0,497;28955,00;60636,00;0,64;7,8
2012;GO;52;Goiás;0,99;0,51;3284101,00;4,9;0,481;45099,00;101381,00;0,54;7,7
2012;MA;21;Maranhão;0,74;0,49;2631092,00;6,8;0,609;273984,00;612190,00;3,74;5,7
2012;MG;31;Minas Gerais;0,98;0,82;10311554,00;6,2;0,499;159476,00;391733,00;1;7,3
2012;MS;50;Mato Grosso do Sul;0,98;0,54;1367461,00;3,7;0,488;15937,00;37754,00;1,04;7,7
2012;MT;51;Mato Grosso;0,97;0,49;1608790,00;5,3;0,523;20975,00;57170,00;0,37;7,4
2012;PA;15;Pará;0,8;0,5;2622296,00;7,8;0,501;154767,00;481790,00;2,08;6,6
2012;PB;25;Paraíba;0,87;0,72;1687963,00;9;0,528;81288,00;265410,00;2,26;6,3
2012;PE;26;Pernambuco;0,87;0,61;3896942,00;10,3;0,507;224531,00;624261,00;2,86;6,6
2012;PI;22;Piauí;0,84;0,73;1522006,00;5,6;0,545;68608,00;227759,00;3,07;5,6
2012;PR;41;Paraná;0,99;0,79;5666106,00;4,9;0,483;78827,00;223814,00;0,58;7,8
2012;RJ;33;Rio de Janeiro;0,97;0,92;7895323,00;6,8;0,53;185823,00;472243,00;0,73;8,7
2012;RN;24;Rio Grande do Norte;0,93;0,83;1445505,00;8,1;0,531;69695,00;212775,00;2,46;6,8
2012;RO;11;Rondônia;0,97;0,61;617711,00;6,4;0,484;21177,00;76077,00;0,46;6,9
2012;RR;14;Roraima;0,95;0,88;195903,00;10,2;0,54;8478,00;25955,00;1,21;8,6
2012;RS;43;Rio Grande do Sul;0,99;0,84;5783324,00;5;0,477;95608,00;260444,00;0,61;7,7
2012;SC;42;Santa Catarina;0,98;0,86;3457480,00;3,1;0,424;37466,00;75622,00;0,31;8,1
2012;SE;28;Sergipe;0,89;0,7;987543,00;8,5;0,542;36473,00;134537,00;2,46;6,4
2012;SP;35;São Paulo;0,99;0,96;22656088,00;6,4;0,493;310420,00;773850,00;0,63;8,7
2012;TO;17;Tocantins;0,9;0,58;667994,00;6,5;0,526;23767,00;75653,00;1,62;6,9
2014;AC;12;Acre;0,73;0,54;270626,00;9,8;0,542;14448,00;45695,00;2,64;6,9
2014;AL;27;Alagoas;0,87;0,55;1298350,00;13,1;0,501;95135,00;248309,00;3,6;5,7
2014;AM;13;Amazonas;0,88;0,68;1562137,00;10,8;0,53;52988,00;182755,00;1,14;8,2
2014;AP;16;Amapá;0,91;0,38;317481,00;10,3;0,47;4387,00;22453,00;0,67;8,7
2014;BA;29;Bahia;0,9;0,65;7306751,00;10;0,527;309792,00;908482,00;2,32;6,6
2014;CE;23;Ceará;0,88;0,44;3853833,00;8,2;0,506;225875,00;558975,00;1,59;6,4
2014;DF;53;Distrito Federal;0,99;0,97;1580227,00;9,5;0,582;10368,00;38123,00;0,39;10,1
2014;ES;32;Espírito Santo;1;0,86;2089929,00;7,1;0,492;21163,00;61128,00;0,68;7,8
2014;GO;52;Goiás;0,99;0,6;3422493,00;5,2;0,45;23613,00;82427,00;0,65;7,6
2014;MA;21;Maranhão;0,76;0,46;2838080,00;8,1;0,529;191658,00;504454,00;2,47;6,1
2014;MG;31;Minas Gerais;0,99;0,81;10820665,00;7,1;0,485;149963,00;338128,00;0,73;7,5
2014;MS;50;Mato Grosso do Sul;0,99;0,37;1407953,00;4,5;0,487;10117,00;25285,00;1,24;7,8
2014;MT;51;Mato Grosso;0,98;0,45;1684045,00;4,8;0,46;17569,00;39416,00;0,58;7,8
2014;PA;15;Pará;0,84;0,48;2659124,00;9,7;0,486;129853,00;435035,00;1,52;6,8
2014;PB;25;Paraíba;0,88;0,7;1772515,00;8,5;0,513;85327,00;224203,00;1,46;6,5
2014;PE;26;Pernambuco;0,87;0,65;4077487,00;9,5;0,507;200581,00;571813,00;2,43;6,9
2014;PI;22;Piauí;0,87;0,81;1473675,00;6;0,501;71755,00;187801,00;2,82;5,8
2014;PR;41;Paraná;0,99;0,76;5913057,00;4,6;0,453;55016,00;159395,00;0,57;8,1
2014;RJ;33;Rio de Janeiro;0,97;0,92;8241866,00;8,1;0,525;92567,00;353554,00;0,48;8,9
2014;RN;24;Rio Grande do Norte;0,9;0,66;1589630,00;12,1;0,496;64100,00;184882,00;1,61;6,5
2014;RO;11;Rondônia;0,97;0,4;670006,00;5,4;0,47;20906,00;60455,00;0,66;7,3
2014;RR;14;Roraima;0,94;0,88;212140,00;8,2;0,502;4373,00;19960,00;0,78;8,3
2014;RS;43;Rio Grande do Sul;0,99;0,83;6057212,00;5;0,476;67739,00;209170,00;0,79;7,9
2014;SC;42;Santa Catarina;0,99;0,85;3684008,00;3,1;0,421;27818,00;71630,00;0,33;8,3
2014;SE;28;Sergipe;0,91;0,52;1061180,00;8,7;0,485;30369,00;123981,00;2,74;6,2
2014;SP;35;São Paulo;0,99;0,95;23883927,00;7,9;0,493;273960,00;720017,00;0,53;8,9
2014;TO;17;Tocantins;0,92;0,45;693149,00;6,4;0,515;26531,00;72956,00;0,92;7,2
